humedad,hora,sonido,tipo_sensor_enc,es_noche,peso,alerta_temperatura
63.34,6,44.45,1,1,15.91,0
61.42,6,48.56,1,1,15.91,0
59.02,6,48.64,1,1,15.91,0
56.78,7,69.74,1,0,15.91,0
57.95,7,63.1,1,0,15.91,0
55.37,7,69.11,1,0,15.91,0
56.65,7,66.13,1,0,15.91,0
56.69,8,60.45,1,0,15.91,0
57.31,8,69.87,1,0,15.91,0
53.87,8,69.7,1,0,15.91,0
52.96,8,64.15,1,0,15.91,0
56.59,9,68.13,1,0,15.91,0
51.77,9,67.69,1,0,15.91,0
50.14,9,64.51,1,0,15.91,0
51.14,9,62.29,1,0,15.91,0
50.44,10,61.14,1,0,15.91,0
52.4,10,65.2,1,0,15.91,0
50.91,10,68.77,1,0,15.91,0
49.17,10,67.55,1,0,15.91,0
48.2,11,61.36,1,0,15.91,0
50.92,11,63.92,1,0,15.91,0
47.98,11,65.14,1,0,15.91,0
50.73,11,68.62,1,0,15.91,0
52.94,12,64.92,1,0,15.91,0
52.34,12,64.93,1,0,15.91,0
48.23,12,60.76,1,0,15.91,0
49.37,12,61.39,1,0,15.91,0
50.38,13,68.97,1,0,15.91,0
48.34,13,61.92,1,0,15.91,0
50.6,13,61.77,1,0,15.91,0
52.0,13,62.06,1,0,15.91,0
52.43,14,60.39,1,0,15.91,0
49.47,14,68.74,1,0,15.91,0
52.55,14,68.06,1,0,15.91,0
52.38,14,63.7,1,0,15.91,0
52.49,15,64.63,1,0,15.91,0
54.2,15,67.13,1,0,15.91,0
54.86,15,61.07,1,0,15.91,0
54.02,15,62.69,1,0,15.91,0
56.6,16,62.11,1,0,15.91,0
59.87,16,65.94,1,0,15.91,0
56.74,16,60.87,1,0,15.91,0
59.33,16,64.32,1,0,15.91,0
59.07,17,66.46,1,0,15.91,0
62.78,17,66.06,1,0,15.91,0
60.16,17,62.46,1,0,15.91,0
61.4,17,61.73,1,0,15.91,0
63.73,18,64.1,1,0,15.91,0
63.73,18,69.69,1,0,15.91,0
61.93,18,61.71,1,0,15.91,0
63.91,18,65.72,1,0,15.91,0
63.32,19,63.24,1,0,15.91,0
65.14,19,61.15,1,0,15.91,0
68.24,19,61.54,1,0,15.91,0
65.63,19,63.37,1,0,15.91,0
72.41,20,47.22,1,1,15.91,0
71.01,20,51.6,1,1,15.91,0
69.72,20,47.49,1,1,15.91,0
72.09,20,45.24,1,1,15.91,0
68.46,21,44.66,1,1,15.91,0
73.36,21,45.4,1,1,15.91,0
71.57,21,45.64,1,1,15.91,0
72.52,21,47.59,1,1,15.91,0
75.2,22,48.39,1,1,15.91,0
75.2,22,48.39,1,1,15.91,0
76.82,22,47.84,1,1,15.91,0
73.79,22,45.17,1,1,15.91,0
73.38,23,45.39,1,1,15.91,0
74.57,23,52.94,1,1,15.91,0
74.96,23,46.48,1,1,15.91,0
76.66,23,51.62,1,1,15.91,0
77.06,0,45.11,1,1,15.91,0
75.53,0,51.97,1,1,15.91,0
76.78,0,51.2,1,1,15.91,0
74.42,0,46.52,1,1,15.91,0
77.53,1,49.83,1,1,15.91,0
76.68,1,45.53,1,1,15.91,0
74.59,1,44.18,1,1,15.91,0
72.79,1,50.97,1,1,15.91,0
70.98,2,49.76,1,1,15.91,0
74.27,2,53.34,1,1,15.91,0
70.6,2,53.85,1,1,15.91,0
75.05,2,52.7,1,1,15.91,0
70.54,3,44.55,1,1,15.91,0
67.36,3,47.33,1,1,15.91,0
72.06,3,47.46,1,1,15.91,0
68.48,3,46.25,1,1,15.91,0
68.11,4,48.98,1,1,15.91,0
66.09,4,49.81,1,1,15.91,0
69.45,4,45.78,1,1,15.91,0
67.03,4,44.85,1,1,15.91,0
67.03,5,44.85,1,1,15.91,0
67.68,5,46.05,1,1,15.91,0
65.25,5,49.65,1,1,15.91,0
62.2,5,49.24,1,1,15.91,0
62.99,6,45.55,1,1,15.91,0
62.76,6,47.73,1,1,15.91,0
59.89,6,44.25,1,1,15.91,0
60.12,6,44.27,1,1,15.91,0
60.78,7,60.2,1,0,15.91,0
60.78,7,60.2,1,0,15.91,0
60.78,7,60.2,1,0,15.91,0
55.37,7,66.68,1,0,15.91,0
58.68,8,60.13,1,0,15.91,0
53.88,8,61.81,1,0,15.91,0
56.91,8,68.17,1,0,15.91,0
54.18,8,65.9,1,0,15.91,0
52.68,9,65.52,1,0,15.91,0
55.77,9,67.64,1,0,15.91,0
51.29,9,68.95,1,0,15.91,0
49.75,9,62.69,1,0,15.91,0
49.89,10,61.39,1,0,15.91,0
49.89,10,61.72,1,0,15.91,0
54.21,10,61.18,1,0,15.91,0
51.38,10,66.51,1,0,15.91,0
48.63,11,61.37,1,0,15.91,0
49.46,11,66.01,1,0,15.91,0
52.92,11,64.19,1,0,15.91,0
52.92,11,64.19,1,0,15.91,0
51.52,12,62.45,1,0,15.91,0
49.71,12,67.19,1,0,15.91,0
49.59,12,66.64,1,0,15.91,0
47.94,12,60.31,1,0,15.91,0
47.72,13,64.96,1,0,15.91,0
47.72,13,61.07,1,0,15.91,0
50.08,13,66.88,1,0,15.91,0
53.43,13,67.99,1,0,15.91,0
52.59,14,63.61,1,0,15.91,0
48.9,14,69.5,1,0,15.91,0
53.52,14,68.73,1,0,15.91,0
52.84,14,66.92,1,0,15.91,0
54.16,15,62.21,1,0,15.91,0
50.5,15,67.06,1,0,15.91,0
55.99,15,69.15,1,0,15.91,0
53.83,15,69.24,1,0,15.91,0
54.69,16,68.62,1,0,15.91,0
58.99,16,60.37,1,0,15.91,0
56.45,16,60.77,1,0,15.91,0
59.94,16,60.65,1,0,15.91,0
60.49,17,63.19,1,0,15.91,0
59.42,17,62.33,1,0,15.91,0
57.29,17,68.75,1,0,15.91,0
61.81,17,69.98,1,0,15.91,0
61.14,18,64.8,1,0,15.91,0
64.57,18,67.68,1,0,15.91,0
65.46,18,62.39,1,0,15.91,0
64.22,18,62.96,1,0,15.91,0
64.56,19,69.88,1,0,15.91,0
67.69,19,62.18,1,0,15.91,0
64.34,19,64.18,1,0,15.91,0
66.52,19,66.13,1,0,15.91,0
65.94,20,53.43,1,1,15.91,0
69.16,20,46.31,1,1,15.91,0
69.31,20,51.8,1,1,15.91,0
74.32,20,52.84,1,1,15.91,0
68.26,21,47.96,1,1,15.91,0
69.58,21,52.16,1,1,15.91,0
73.38,21,49.93,1,1,15.91,0
75.93,21,46.66,1,1,15.91,0
74.47,22,52.62,1,1,15.91,0
73.51,22,44.87,1,1,15.91,0
73.2,22,51.23,1,1,15.91,0
74.14,22,50.83,1,1,15.91,0
73.54,23,48.81,1,1,15.91,0
73.07,23,50.78,1,1,15.91,0
77.45,23,51.97,1,1,15.91,0
75.79,23,51.08,1,1,15.91,0
75.32,0,50.19,1,1,15.91,0
77.86,0,52.72,1,1,15.91,0
72.1,0,47.35,1,1,15.91,0
72.1,0,52.32,1,1,15.91,0
74.93,1,50.17,1,1,15.91,0
72.76,1,50.34,1,1,15.91,0
71.27,1,51.61,1,1,15.91,0
71.58,1,50.33,1,1,15.91,0
76.65,2,50.88,1,1,15.91,0
74.49,2,44.67,1,1,15.91,0
73.44,2,44.46,1,1,15.91,0
72.86,2,51.5,1,1,15.91,0
68.19,3,44.22,1,1,15.91,0
72.09,3,50.83,1,1,15.91,0
73.2,3,48.26,1,1,15.91,0
71.85,3,50.94,1,1,15.91,0
70.81,4,50.55,1,1,15.91,0
64.92,4,48.32,1,1,15.91,0
68.15,4,47.98,1,1,15.91,0
64.61,4,52.94,1,1,15.91,0
64.14,5,50.52,1,1,15.91,0
63.67,5,53.68,1,1,15.91,0
64.36,5,51.71,1,1,15.91,0
63.1,5,45.31,1,1,15.91,0
61.78,6,51.97,1,1,15.91,0
60.8,6,50.86,1,1,15.91,0
61.58,6,44.64,1,1,15.91,0
61.58,6,44.64,1,1,15.91,0
58.41,7,63.92,1,0,15.91,0
57.02,7,66.95,1,0,15.91,0
57.02,7,66.95,1,0,15.91,0
57.02,7,61.42,1,0,15.91,0
56.77,8,65.6,1,0,15.91,0
55.99,8,60.88,1,0,15.91,0
53.97,8,63.97,1,0,15.91,0
54.85,8,68.01,1,0,15.91,0
52.47,9,66.36,1,0,15.91,0
56.46,9,60.52,1,0,15.91,0
53.65,9,67.14,1,0,15.91,0
53.97,9,60.8,1,0,15.91,0
52.93,10,64.52,1,0,15.91,0
52.18,10,60.82,1,0,15.91,0
49.79,10,68.72,1,0,15.91,0
48.28,10,61.82,1,0,15.91,0
49.75,11,65.55,1,0,15.91,0
53.31,11,69.75,1,0,15.91,0
51.67,11,60.72,1,0,15.91,0
50.33,11,68.68,1,0,15.91,0
48.73,12,63.46,1,0,15.91,0
46.11,12,68.67,1,0,15.91,0
51.21,12,64.87,1,0,15.91,0
48.49,12,62.77,1,0,15.91,0
47.6,13,66.23,1,0,15.91,0
47.96,13,67.16,1,0,15.91,0
50.38,13,69.71,1,0,15.91,0
50.03,13,62.47,1,0,15.91,0
51.73,14,63.59,1,0,15.91,0
52.35,14,69.69,1,0,15.91,0
52.35,14,69.69,1,0,15.91,0
51.35,14,62.36,1,0,15.91,0
54.54,15,63.37,1,0,15.91,0
53.04,15,66.17,1,0,15.91,0
54.02,15,60.37,1,0,15.91,0
54.8,15,68.44,1,0,15.91,0
57.69,16,62.06,1,0,15.91,0
57.69,16,65.31,1,0,15.91,0
57.02,16,64.52,1,0,15.91,0
58.91,16,60.42,1,0,15.91,0
60.06,17,60.05,1,0,15.91,0
61.38,17,64.55,1,0,15.91,0
61.61,17,61.4,1,0,15.91,0
63.15,17,62.02,1,0,15.91,0
63.15,18,62.02,1,0,15.91,0
60.55,18,66.93,1,0,15.91,0
63.68,18,64.97,1,0,15.91,0
64.16,18,60.3,1,0,15.91,0
66.0,19,62.16,1,0,15.91,0
67.51,19,61.07,1,0,15.91,0
63.53,19,69.77,1,0,15.91,0
68.31,19,65.67,1,0,15.91,0
67.12,20,47.27,1,1,15.91,0
69.83,20,51.98,1,1,15.91,0
67.25,20,49.44,1,1,15.91,0
70.55,20,47.96,1,1,15.91,0
71.38,21,46.38,1,1,15.91,0
70.53,21,50.03,1,1,15.91,0
71.87,21,47.8,1,1,15.91,0
72.72,21,44.26,1,1,15.91,0
73.14,22,49.8,1,1,15.91,0
74.72,22,52.13,1,1,15.91,0
70.32,22,45.96,1,1,15.91,0
75.89,22,46.43,1,1,15.91,0
78.02,23,47.52,1,1,15.91,0
73.59,23,46.85,1,1,15.91,0
74.22,23,47.11,1,1,15.91,0
73.22,23,48.14,1,1,15.91,0
76.82,0,45.81,1,1,15.91,0
72.4,0,49.67,1,1,15.91,0
73.48,0,52.06,1,1,15.91,0
76.75,0,53.51,1,1,15.91,0
75.57,1,46.28,1,1,15.91,0
73.57,1,52.4,1,1,15.91,0
73.14,1,51.81,1,1,15.91,0
72.39,1,50.68,1,1,15.91,0
72.71,2,49.87,1,1,15.91,0
74.01,2,46.17,1,1,15.91,0
74.49,2,50.07,1,1,15.91,0
72.1,2,49.94,1,1,15.91,0
68.09,3,50.95,1,1,15.91,0
72.0,3,50.92,1,1,15.91,0
69.17,3,51.24,1,1,15.91,0
67.95,3,44.86,1,1,15.91,0
68.7,4,46.27,1,1,15.91,0
69.3,4,44.68,1,1,15.91,0
68.18,4,52.8,1,1,15.91,0
65.48,4,47.33,1,1,15.91,0
65.05,5,49.58,1,1,15.91,0
62.76,5,49.62,1,1,15.91,0
65.92,5,46.01,1,1,15.91,0
64.13,5,51.56,1,1,15.91,0
63.41,6,53.27,1,1,15.91,0
63.41,6,53.92,1,1,15.91,0
62.35,6,49.21,1,1,15.91,0
62.4,6,45.28,1,1,15.91,0
59.38,7,60.36,1,0,15.91,0
58.33,7,60.88,1,0,15.91,0
56.46,7,63.97,1,0,15.91,0
56.61,7,69.19,1,0,15.91,0
56.44,8,62.09,1,0,15.91,0
58.08,8,63.81,1,0,15.91,0
55.2,8,67.9,1,0,15.91,0
54.82,8,61.74,1,0,15.91,0
56.32,9,66.41,1,0,15.91,0
55.8,9,69.23,1,0,15.91,0
53.43,9,61.75,1,0,15.91,0
50.44,9,63.68,1,0,15.91,0
51.04,10,69.63,1,0,15.91,0
49.43,10,63.12,1,0,15.91,0
48.96,10,66.41,1,0,15.91,0
50.88,10,61.52,1,0,15.91,0
49.22,11,60.58,1,0,15.91,0
49.22,11,69.84,1,0,15.91,0
49.04,11,63.03,1,0,15.91,0
47.09,11,65.09,1,0,15.91,0
49.48,12,63.06,1,0,15.91,0
49.38,12,61.31,1,0,15.91,0
48.53,12,63.68,1,0,15.91,0
50.27,12,67.69,1,0,15.91,0
50.37,13,60.19,1,0,15.91,0
47.91,13,65.35,1,0,15.91,0
50.86,13,69.76,1,0,15.91,0
49.72,13,61.1,1,0,15.91,0
53.34,14,60.98,1,0,15.91,0
52.06,14,67.37,1,0,15.91,0
52.24,14,64.59,1,0,15.91,0
54.07,14,67.87,1,0,15.91,0
52.64,15,62.55,1,0,15.91,0
57.42,15,64.61,1,0,15.91,0
56.24,15,66.37,1,0,15.91,0
56.24,15,61.5,1,0,15.91,0
56.97,16,60.42,1,0,15.91,0
54.07,16,60.71,1,0,15.91,0
57.45,16,63.53,1,0,15.91,0
60.16,16,66.61,1,0,15.91,0
58.07,17,66.6,1,0,15.91,0
58.07,17,66.6,1,0,15.91,0
62.68,17,66.25,1,0,15.91,0
60.52,17,66.15,1,0,15.91,0
62.14,18,60.42,1,0,15.91,0
61.33,18,69.8,1,0,15.91,0
65.04,18,68.12,1,0,15.91,0
65.12,18,69.28,1,0,15.91,0
65.7,19,64.39,1,0,15.91,0
65.7,19,64.39,1,0,15.91,0
66.84,19,62.86,1,0,15.91,0
66.84,19,69.19,1,0,15.91,0
67.76,20,52.42,1,1,15.91,0
69.39,20,45.77,1,1,15.91,0
70.87,20,44.43,1,1,15.91,0
72.89,20,52.18,1,1,15.91,0
73.0,21,51.33,1,1,15.91,0
71.66,21,46.98,1,1,15.91,0
73.72,21,50.36,1,1,15.91,0
73.66,21,44.09,1,1,15.91,0
75.12,22,44.99,1,1,15.91,0
71.36,22,49.55,1,1,15.91,0
72.14,22,47.55,1,1,15.91,0
71.7,22,51.61,1,1,15.91,0
72.38,23,53.58,1,1,15.91,0
73.5,23,47.06,1,1,15.91,0
72.81,23,48.49,1,1,15.91,0
74.33,23,47.92,1,1,15.91,0
71.96,0,50.2,1,1,15.91,0
72.08,0,49.88,1,1,15.91,0
72.3,0,49.8,1,1,15.91,0
75.1,0,50.76,1,1,15.91,0
76.86,1,48.98,1,1,15.91,0
74.77,1,51.85,1,1,15.91,0
73.3,1,48.4,1,1,15.91,0
73.3,1,48.4,1,1,15.91,0
74.22,2,53.98,1,1,15.91,0
72.07,2,50.36,1,1,15.91,0
73.04,2,52.4,1,1,15.91,0
72.11,2,45.84,1,1,15.91,0
69.41,3,44.24,1,1,15.91,0
71.45,3,46.99,1,1,15.91,0
70.42,3,52.73,1,1,15.91,0
71.82,3,48.58,1,1,15.91,0
67.67,4,51.28,1,1,15.91,0
65.08,4,51.51,1,1,15.91,0
62.98,4,44.57,1,1,15.91,0
65.08,5,53.06,1,1,15.91,0
66.81,5,48.5,1,1,15.91,0
65.24,5,44.34,1,1,15.91,0
60.25,5,49.32,1,1,15.91,0
64.83,6,44.22,1,1,15.91,0
60.54,6,53.37,1,1,15.91,0
59.8,6,51.31,1,1,15.91,0
61.41,6,45.98,1,1,15.91,0
61.61,7,66.09,1,0,15.91,0
57.72,7,62.25,1,0,15.91,0
56.87,7,65.23,1,0,15.91,0
56.87,7,65.23,1,0,15.91,0
53.88,8,64.58,1,0,15.91,0
58.6,8,68.5,1,0,15.91,0
54.4,8,66.51,1,0,15.91,0
55.41,8,68.06,1,0,15.91,0
56.22,9,62.01,1,0,15.91,0
53.04,9,67.57,1,0,15.91,0
55.15,9,68.8,1,0,15.91,0
52.44,9,69.85,1,0,15.91,0
50.67,10,64.64,1,0,15.91,0
50.98,10,61.05,1,0,15.91,0
49.24,10,67.76,1,0,15.91,0
51.45,10,62.87,1,0,15.91,0
50.67,11,67.98,1,0,15.91,0
49.01,11,61.58,1,0,15.91,0
48.15,11,68.57,1,0,15.91,0
52.88,11,61.41,1,0,15.91,0
52.69,12,66.54,1,0,15.91,0
50.57,12,60.83,1,0,15.91,0
49.05,12,69.67,1,0,15.91,0
49.49,12,66.35,1,0,15.91,0
48.77,13,61.62,1,0,15.91,0
50.44,13,67.19,1,0,15.91,0
53.14,13,61.87,1,0,15.91,0
50.38,13,67.1,1,0,15.91,0
53.17,14,64.59,1,0,15.91,0
53.58,14,63.35,1,0,15.91,0
53.58,14,63.35,1,0,15.91,0
53.2,14,64.5,1,0,15.91,0
53.66,15,63.52,1,0,15.91,0
56.57,15,66.34,1,0,15.91,0
53.35,15,66.86,1,0,15.91,0
58.11,15,62.27,1,0,15.91,0
57.44,16,66.94,1,0,15.91,0
55.96,16,60.33,1,0,15.91,0
59.34,16,68.71,1,0,15.91,0
58.35,16,62.6,1,0,15.91,0
58.96,17,61.11,1,0,15.91,0
61.88,17,65.47,1,0,15.91,0
62.98,17,62.8,1,0,15.91,0
65.05,18,67.54,1,0,15.91,0
66.93,18,67.27,1,0,15.91,0
66.93,18,68.73,1,0,15.91,0
64.48,18,60.97,1,0,15.91,0
66.91,19,63.01,1,0,15.91,0
66.03,19,67.43,1,0,15.91,0
67.82,19,66.68,1,0,15.91,0
65.27,19,60.79,1,0,15.91,0
65.53,20,49.83,1,1,15.91,0
68.48,20,44.64,1,1,15.91,0
67.85,20,44.94,1,1,15.91,0
71.86,20,52.79,1,1,15.91,0
70.91,21,47.17,1,1,15.91,0
71.59,21,52.93,1,1,15.91,0
72.74,21,49.92,1,1,15.91,0
72.74,21,45.04,1,1,15.91,0
74.11,22,53.51,1,1,15.91,0
73.03,22,50.34,1,1,15.91,0
74.06,22,48.72,1,1,15.91,0
74.24,22,53.72,1,1,15.91,0
73.1,23,50.11,1,1,15.91,0
75.68,23,44.06,1,1,15.91,0
73.39,23,45.08,1,1,15.91,0
74.46,23,49.13,1,1,15.91,0
73.24,0,44.87,1,1,15.91,0
75.31,0,49.07,1,1,15.91,0
75.92,0,53.93,1,1,15.91,0
74.89,0,48.22,1,1,15.91,0
74.47,1,50.08,1,1,15.91,0
75.67,1,52.21,1,1,15.91,0
71.41,1,46.58,1,1,15.91,0
74.33,1,45.14,1,1,15.91,0
72.78,2,45.21,1,1,15.91,0
70.01,2,44.8,1,1,15.91,0
71.97,2,50.79,1,1,15.91,0
69.15,2,50.36,1,1,15.91,0
72.85,3,51.24,1,1,15.91,0
67.38,3,49.34,1,1,15.91,0
71.08,3,46.95,1,1,15.91,0
66.9,3,45.23,1,1,15.91,0
70.3,4,50.52,1,1,15.91,0
67.07,4,50.73,1,1,15.91,0
69.23,4,48.46,1,1,15.91,0
67.3,4,53.17,1,1,15.91,0
66.59,5,47.71,1,1,15.91,0
65.21,5,47.75,1,1,15.91,0
62.45,5,52.9,1,1,15.91,0
61.85,5,50.46,1,1,15.91,0
60.73,6,48.1,1,1,15.91,0
61.6,6,47.65,1,1,15.91,0
59.13,6,50.88,1,1,15.91,0
57.63,6,49.05,1,1,15.91,0
57.16,7,60.31,1,0,15.91,0
57.16,7,67.56,1,0,15.91,0
60.19,7,61.16,1,0,15.91,0
59.3,7,66.03,1,0,15.91,0
53.66,8,69.61,1,0,15.91,0
54.92,8,65.41,1,0,15.91,0
54.78,8,67.62,1,0,15.91,0
53.28,8,62.59,1,0,15.91,0
53.98,9,62.7,1,0,15.91,0
51.99,9,65.8,1,0,15.91,0
53.2,9,64.89,1,0,15.91,0
52.4,9,66.23,1,0,15.91,0
49.64,10,63.95,1,0,15.91,0
51.38,10,62.28,1,0,15.91,0
50.69,10,65.33,1,0,15.91,0
52.98,10,61.25,1,0,15.91,0
52.77,11,69.44,1,0,15.91,0
52.55,11,64.83,1,0,15.91,0
49.03,11,62.86,1,0,15.91,0
49.03,11,65.11,1,0,15.91,0
51.41,12,69.81,1,0,15.91,0
50.2,12,65.74,1,0,15.91,0
48.82,12,68.54,1,0,15.91,0
51.01,12,60.62,1,0,15.91,0
50.43,13,66.27,1,0,15.91,0
51.74,13,66.88,1,0,15.91,0
48.37,13,62.99,1,0,15.91,0
49.11,13,62.11,1,0,15.91,0
55.39,14,66.77,1,0,15.91,0
50.09,14,67.38,1,0,15.91,0
49.92,14,67.53,1,0,15.91,0
53.79,14,68.46,1,0,15.91,0
54.62,15,60.78,1,0,15.91,0
54.62,15,63.49,1,0,15.91,0
56.09,15,60.72,1,0,15.91,0
54.32,15,60.77,1,0,15.91,0
56.29,16,60.5,1,0,15.91,0
56.08,16,62.32,1,0,15.91,0
56.08,16,64.05,1,0,15.91,0
58.75,16,62.26,1,0,15.91,0
58.27,17,63.58,1,0,15.91,0
62.98,17,65.03,1,0,15.91,0
61.13,17,60.72,1,0,15.91,0
63.4,17,68.23,1,0,15.91,0
62.36,18,61.43,1,0,15.91,0
62.36,18,62.84,1,0,15.91,0
61.45,18,67.49,1,0,15.91,0
66.36,18,60.47,1,0,15.91,0
62.88,19,68.39,1,0,15.91,0
68.39,19,63.16,1,0,15.91,0
66.47,19,68.43,1,0,15.91,0
71.38,20,44.89,1,1,15.91,0
68.86,20,50.33,1,1,15.91,0
69.82,20,51.13,1,1,15.91,0
70.67,20,53.51,1,1,15.91,0
69.91,21,51.82,1,1,15.91,0
72.48,21,53.57,1,1,15.91,0
72.38,21,46.09,1,1,15.91,0
71.02,21,51.68,1,1,15.91,0
71.02,22,51.68,1,1,15.91,0
75.68,22,46.16,1,1,15.91,0
72.7,22,45.37,1,1,15.91,0
72.73,22,50.45,1,1,15.91,0
72.45,23,52.9,1,1,15.91,0
72.93,23,45.12,1,1,15.91,0
77.24,23,44.15,1,1,15.91,0
73.05,23,45.24,1,1,15.91,0
74.54,0,49.31,1,1,15.91,0
76.21,0,53.63,1,1,15.91,0
73.45,0,51.74,1,1,15.91,0
73.45,0,45.26,1,1,15.91,0
75.33,1,45.2,1,1,15.91,0
74.69,1,51.73,1,1,15.91,0
73.84,1,44.01,1,1,15.91,0
75.64,1,52.47,1,1,15.91,0
73.57,2,51.8,1,1,15.91,0
72.18,2,44.66,1,1,15.91,0
72.18,2,51.47,1,1,15.91,0
75.43,2,53.43,1,1,15.91,0
70.11,3,53.63,1,1,15.91,0
69.72,3,45.96,1,1,15.91,0
71.13,3,49.78,1,1,15.91,0
69.18,3,47.88,1,1,15.91,0
68.61,4,53.17,1,1,15.91,0
70.0,4,51.08,1,1,15.91,0
65.77,4,50.31,1,1,15.91,0
69.8,4,49.3,1,1,15.91,0
66.56,5,44.76,1,1,15.91,0
63.76,5,49.47,1,1,15.91,0
63.68,5,48.46,1,1,15.91,0
66.24,5,53.81,1,1,15.91,0
60.08,6,53.61,1,1,15.91,0
60.08,6,51.12,1,1,15.91,0
59.36,6,48.37,1,1,15.91,0
